userID,bookID,prediction
u11538900,b07888199
u97036836,b27008357
u51926222,b42417554
u00942187,b40172367
u22105217,b64130684
u24244364,b22207461
u37717598,b00366117
u18606162,b50550215
u70148748,b73826999
u96964690,b11764474
u28527596,b14854557
u37577857,b97382810
u49707395,b09887883
u38055540,b91045742
u22950188,b58549702
u65645818,b16299278
u94398205,b40722160
u05399231,b55294529
u31447336,b45146512
u74942276,b01028561
u25793793,b47683735
u42099743,b15118141
u98715757,b93074227
u51521854,b80742104
u56535163,b29795443
u15255766,b49695798
u55092064,b93099714
u95467093,b33554711
u49575930,b34602192
u44525189,b65810498
u04927878,b77297808
u86106233,b20003872
u77344400,b63573768
u20809270,b69660699
u40840367,b56416268
u40425561,b28098532
u36299507,b07490126
u38483239,b10397006
u26093411,b59597806
u68762041,b19914003
u10346765,b11225717
u31635700,b10955523
u58865415,b81021828
u88745888,b29971331
u92337836,b09309397
u85373674,b34150944
u62606615,b37477428
u35220007,b47563939
u67453017,b74600625
u99372258,b40860202
u24961090,b73753781
u30132173,b55678824
u21439087,b76504829
u94153904,b32648104
u73509228,b73880693
u43830352,b49401369
u21047440,b02558366
u47973678,b59839746
u02626632,b65634205
u16742321,b80617056
u74206965,b51080606
u64636106,b68476558
u93291571,b11225717
u09840017,b88280673
u12219728,b84149902
u47108482,b83594308
u63930118,b76504829
u05853701,b68538643
u18186610,b09881661
u65089031,b96175435
u79324739,b59466274
u45524856,b26377667
u01662468,b36038291
u12054001,b08709281
u71975135,b28532200
u17437208,b13603836
u03975545,b28098532
u90900997,b03957285
u49932741,b93099714
u62339180,b78666309
u21788111,b44438037
u09542212,b73801988
u72642929,b86252145
u27630214,b09046358
u63535527,b25756257
u70642222,b25255252
u02634555,b28837801
u20116066,b93011130
u01310670,b40572941
u15836969,b52463272
u80558320,b86735385
u03322473,b27008357
u63334528,b57810416
u50299977,b11574926
u41007539,b61533042
u57517940,b66345658
u56276082,b84584185
u58622695,b82180436
u45809406,b13540261
u29979273,b37677655
u26707024,b64130684
u76449388,b52875290
u69981136,b60243940
u38894418,b17951097
u52735807,b92585934
u72428881,b11830351
u23885181,b99331031
u96972273,b55944056
u22085360,b80380188
u09637599,b16142257
u94689259,b95315852
u52720010,b91335743
u77393204,b74051095
u59281992,b72586417
u86331284,b11225717
u75856204,b07269332
u98567131,b91985278
u52166234,b08312296
u14760151,b56096640
u21517246,b53441791
u34303581,b73137861
u22942851,b84887535
u94993489,b46742825
u29105273,b87843774
u70832264,b38073902
u72489983,b14854557
u50393058,b17000824
u31165307,b79421252
u21233234,b64397400
u91227271,b32454415
u34810527,b68476558
u24059926,b11782145
u42249307,b29795443
u51556807,b48034911
u80099787,b29789801
u09788598,b00852710
u54900775,b30260877
u18255192,b92596018
u57811658,b02307143
u45166394,b08709281
u60905650,b68943079
u62239735,b42574427
u35720300,b70886093
u78854787,b44768257
u59374878,b70710858
u48287703,b38426558
u49777903,b43077175
u31733718,b66345658
u74087498,b06460625
u50219744,b17858813
u05664745,b05811676
u81677806,b91328903
u68871665,b32109454
u41527895,b73152433
u08440829,b38949777
u57469506,b11225717
u37745488,b17416253
u62523895,b51752826
u28628368,b68472435
u90268534,b54643661
u42205354,b59260724
u39236731,b82757408
u02098450,b38050556
u43583819,b20605983
u82036547,b63496238
u24778969,b14854932
u49373676,b83764607
u12522556,b79442087
u94749750,b30958864
u29477773,b11312993
u89970066,b90680576
u04023320,b56583724
u19307601,b23399053
u77975941,b95534698
