userID,bookID,prediction
u95048695,b80407575
u64624839,b22251874
u45364671,b59334959
u89964247,b96807645
u27746462,b93777449
u45033856,b02250808
u27598419,b12715496
u20059243,b74622707
u52760220,b33229445
u95557022,b55417152
u43877046,b06804790
u89426875,b43975237
u40203344,b56379602
u18008976,b51752826
u62617835,b35509876
u91244617,b25350833
u98269724,b32262230
u27067409,b12138527
u62105013,b85897452
u10645797,b21827216
u77630454,b39380938
u85624886,b62181041
u11629036,b65888554
u45734444,b72571590
u47367123,b93239672
u25577220,b33892919
u46256540,b18929421
u98893115,b34817039
u98962581,b48994797
u97434959,b09990540
u38088991,b10395308
u82343200,b29795443
u10832213,b00852710
u91327967,b62069216
u02429729,b20992264
u58075228,b75370376
u41632848,b56237863
u77445565,b39646709
u31657691,b78742591
u95202237,b35786131
u80153379,b54625646
u10847594,b68501994
u49515044,b71226197
u57215809,b75408330
u74594445,b92398690
u79734794,b07931455
u49946145,b07635522
u13647595,b54925701
u57826025,b09447853
u63334855,b07220477
u65171854,b23900053
u75844853,b69322107
u61753125,b73999482
u39682876,b48729675
u09198090,b26793811
u08987705,b51105170
u63458025,b52470635
u83643489,b08483653
u38076794,b21230747
u20810937,b74270504
u77457723,b38237090
u30878996,b92826580
u78242946,b43116475
u75238310,b64909655
u39347566,b64637484
u11823707,b62815615
u89375092,b56962231
u31582788,b03555121
u46031876,b34931521
u04178593,b61315277
u47287073,b07866342
u34980873,b74692664
u76750951,b45151106
u94982095,b74716395
u81076272,b53960626
u88391449,b61837143
u25107456,b88495722
u47131023,b45843291
u23913913,b73713134
u06450745,b68524016
u98975515,b44129056
u20437109,b16497928
u31213067,b38586123
u23971369,b92282264
u49589188,b73030937
u57616143,b27117473
u37976224,b94930284
u62772324,b89851681
u75802033,b79696732
u99899897,b59839746
u19231580,b11830351
u64626902,b71653060
u52156913,b75370376
u31719620,b96394971
u64251020,b39593811
u27926486,b01940907
u51020349,b83887237
u62965193,b84218706
u92387082,b96109530
u61848276,b12885486
u38767364,b68551415
u71486387,b48660225
u54616673,b24044994
u51806041,b50537051
u82033339,b45047968
u39745396,b38783997
u65764600,b59120611
u53245338,b46543712
u31966356,b62412004
u20206336,b21799914
u08923136,b37119687
u55721784,b40406278
u42169985,b01088063
u80721316,b05833174
u12849226,b78742591
